Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN
SRR12845735,WGS,GRCH38,146,40119162,PRJNA669945,SAMN16481315,Pathogen.cl,9847962,UCL,Arab American University,2020-06-23,public,"activ_sars2_vcf,bam,sra","s3,gs","gs.US,s3.us-east-1",SRX9312969,uncalculated,uncalculated,"State of Palestine: Nablus\, Nablus",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 66,missing,Library_66,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_66,SRP287708,missing
SRR12845736,WGS,GRCH38,146,24545729,PRJNA669945,SAMN16481314,Pathogen.cl,6172387,UCL,Arab American University,2020-06-25,public,"sra,bam,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312968,uncalculated,uncalculated,"State of Palestine: Nablus\, Der Hatab",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 64,missing,Library_64,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_64,SRP287708,missing
SRR12845737,WGS,GRCH38,146,103693496,PRJNA669945,SAMN16481313,Pathogen.cl,25206282,UCL,Arab American University,2020-08-03,public,"bam,sra,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312967,uncalculated,uncalculated,"State of Palestine: Jenin\, Jenin",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 62,missing,Library_62,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_62,SRP287708,missing
SRR12845738,WGS,GRCH38,146,26303813,PRJNA669945,SAMN16481312,Pathogen.cl,6686142,UCL,Arab American University,2020-08-03,public,"sra,activ_sars2_vcf,bam","gs,s3","s3.us-east-1,gs.US",SRX9312966,uncalculated,uncalculated,"State of Palestine: Jenin\, Jenin",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 61,missing,Library_61,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_61,SRP287708,missing
SRR12845739,WGS,GRCH38,146,159091402,PRJNA669945,SAMN16481311,Pathogen.cl,39999358,UCL,Arab American University,2020-08-03,public,"activ_sars2_vcf,bam,sra","s3,gs","gs.US,s3.us-east-1",SRX9312965,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 60,missing,Library_60,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_60,SRP287708,missing
SRR12845740,WGS,GRCH38,145,32552392,PRJNA669945,SAMN16481310,Pathogen.cl,8172158,UCL,Arab American University,2020-08-19,public,"activ_sars2_vcf,sra,bam","gs,s3","s3.us-east-1,gs.US",SRX9312964,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 55,missing,Library_55,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_55,SRP287708,missing
SRR12845741,WGS,GRCH38,145,80993362,PRJNA669945,SAMN16481309,Pathogen.cl,20259572,UCL,Arab American University,2020-08-19,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312963,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 54,missing,Library_54,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_54,SRP287708,missing
SRR12845742,WGS,GRCH38,146,16198417,PRJNA669945,SAMN16481273,Pathogen.cl,4250356,UCL,Arab American University,2020-07-17,public,"activ_sars2_vcf,sra,bam","s3,gs","gs.US,s3.us-east-1",SRX9312962,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 7,missing,Library_7,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_7,SRP287708,missing
SRR12845743,WGS,GRCH38,145,40141888,PRJNA669945,SAMN16481308,Pathogen.cl,10380952,UCL,Arab American University,2020-08-19,public,"bam,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312961,uncalculated,uncalculated,"State of Palestine: Ramallah\, Ramallah",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 52,missing,Library_52,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_52,SRP287708,missing
SRR12845744,WGS,GRCH38,145,16293875,PRJNA669945,SAMN16481307,Pathogen.cl,4382710,UCL,Arab American University,2020-08-19,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312960,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 51,missing,Library_51,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_51,SRP287708,missing
SRR12845745,WGS,GRCH38,146,939117387,PRJNA669945,SAMN16481306,Pathogen.cl,239188757,UCL,Arab American University,2020-08-18,public,"bam,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312959,uncalculated,uncalculated,"State of Palestine: Jericho\, Jericho",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 50,missing,Library_50,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_50,SRP287708,missing
SRR12845746,WGS,GRCH38,145,2457664207,PRJNA669945,SAMN16481305,Pathogen.cl,634871135,UCL,Arab American University,2020-08-18,public,"bam,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX9312958,uncalculated,uncalculated,"State of Palestine: Jericho\, Jericho",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 49,missing,Library_49,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_49,SRP287708,missing
SRR12845747,WGS,GRCH38,146,126214583,PRJNA669945,SAMN16481304,Pathogen.cl,31013710,UCL,Arab American University,2020-08-18,public,"activ_sars2_vcf,sra,bam","gs,s3","s3.us-east-1,gs.US",SRX9312957,uncalculated,uncalculated,"State of Palestine: Jericho\, Jericho",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 48,missing,Library_48,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_48,SRP287708,missing
SRR12845748,WGS,GRCH38,146,1780346840,PRJNA669945,SAMN16481303,Pathogen.cl,455694832,UCL,Arab American University,2020-08-17,public,"bam,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",SRX9312956,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 47,missing,Library_47,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_47,SRP287708,missing
SRR12845749,WGS,GRCH38,146,38255363,PRJNA669945,SAMN16481302,Pathogen.cl,9509775,UCL,Arab American University,2020-08-17,public,"sra,bam,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",SRX9312955,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 46,missing,Library_46,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_46,SRP287708,missing
SRR12845750,WGS,GRCH38,146,20900366,PRJNA669945,SAMN16481301,Pathogen.cl,5342324,UCL,Arab American University,2020-08-17,public,"bam,activ_sars2_vcf,sra","s3,gs","s3.us-east-1,gs.US",SRX9312954,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 45,missing,Library_45,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_45,SRP287708,missing
SRR12845751,WGS,GRCH38,146,205603547,PRJNA669945,SAMN16481300,Pathogen.cl,50492124,UCL,Arab American University,2020-08-17,public,"activ_sars2_vcf,bam,sra","s3,gs","s3.us-east-1,gs.US",SRX9312953,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 44,missing,Library_44,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_44,SRP287708,missing
SRR12845752,WGS,GRCH38,146,1233225636,PRJNA669945,SAMN16481299,Pathogen.cl,316717033,UCL,Arab American University,2020-08-17,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX9312952,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 43,missing,Library_43,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_43,SRP287708,missing
SRR12845753,WGS,GRCH38,146,8222237,PRJNA669945,SAMN16481272,Pathogen.cl,2532601,UCL,Arab American University,2020-07-17,public,"activ_sars2_vcf,sra,bam","s3,gs","s3.us-east-1,gs.US",SRX9312951,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 4,missing,Library_4,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_4,SRP287708,missing
SRR12845754,WGS,GRCH38,146,3639282,PRJNA669945,SAMN16481298,Pathogen.cl,1204846,UCL,Arab American University,2020-08-17,public,"bam,activ_sars2_vcf,sra","gs,s3","s3.us-east-1,gs.US",SRX9312950,uncalculated,uncalculated,"State of Palestine: Jerusalem\, Jerusalem",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 42,missing,Library_42,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_42,SRP287708,missing
SRR12845755,WGS,GRCH38,146,1369127,PRJNA669945,SAMN16481297,Pathogen.cl,643683,UCL,Arab American University,2020-08-17,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX9312949,uncalculated,uncalculated,"State of Palestine: Jericho\, Jericho",Covid-19,Homo sapiens,NextSeq 550,missing,Nasopharyngeal swab from patient 41,missing,Library_41,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-10-26T00:00:00Z,isolate_41,SRP287708,missing
